PeriodEnd,PeriodStart,Period,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,PrecipitableWater,RelativeHumidity,SnowWater,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,AlbedoDaily
2020-12-31T02:00:00Z,2020-12-31T01:00:00Z,PT60M,12.4,-86,12.7,9.6,0,0,0,0,13.3,82.8,0.0,987.0,197,4.8,138,0.11
2020-12-31T03:00:00Z,2020-12-31T02:00:00Z,PT60M,12.3,-95,11.1,9.5,0,0,0,0,13.1,83.1,0.0,986.7,197,4.3,125,0.11
2020-12-31T04:00:00Z,2020-12-31T03:00:00Z,PT60M,12.1,-103,14.3,9.2,0,0,0,0,12.2,82.6,0.0,986.5,196,3.9,113,0.11
2020-12-31T05:00:00Z,2020-12-31T04:00:00Z,PT60M,11.8,-110,11.4,8.8,0,0,0,0,11.0,81.6,0.0,986.5,198,3.6,102,0.11
2020-12-31T06:00:00Z,2020-12-31T05:00:00Z,PT60M,11.8,-118,10.5,8.4,7,40,4,11,10.4,79.7,0.0,986.6,201,3.7,90,0.11
2020-12-31T07:00:00Z,2020-12-31T06:00:00Z,PT60M,12.5,-128,0.0,8.3,49,436,79,129,10.3,75.7,0.0,986.8,197,4.2,80,0.11
2020-12-31T08:00:00Z,2020-12-31T07:00:00Z,PT60M,13.9,-139,0.0,8.3,75,661,214,289,10.2,69.3,0.0,987.1,197,4.8,71,0.11
2020-12-31T09:00:00Z,2020-12-31T08:00:00Z,PT60M,15.0,-151,0.0,8.2,87,768,334,421,10.2,64.0,0.0,987.2,199,5.1,64,0.11
2020-12-31T10:00:00Z,2020-12-31T09:00:00Z,PT60M,15.7,-166,0.0,8.4,88,829,416,504,10.4,61.9,0.0,986.7,198,4.9,60,0.11
2020-12-31T11:00:00Z,2020-12-31T10:00:00Z,PT60M,16.1,178,0.0,8.8,91,835,434,525,10.9,61.9,0.0,986.0,199,4.9,59,0.11
2020-12-31T12:00:00Z,2020-12-31T11:00:00Z,PT60M,16.3,162,0.0,9.1,92,801,391,483,11.4,62.5,0.0,985.4,197,5.0,61,0.11
2020-12-31T13:00:00Z,2020-12-31T12:00:00Z,PT60M,16.2,148,0.0,9.3,88,728,297,385,11.6,63.4,0.0,985.2,196,5.1,66,0.11
2020-12-31T14:00:00Z,2020-12-31T13:00:00Z,PT60M,15.9,135,0.0,9.5,76,569,164,240,12.1,65.8,0.0,985.5,201,4.7,74,0.11
